contract_id,invoice_date,worker_id,worker_nationality,worker_profession,client_company,client_sector,region,contract_type,contract_duration_months,purchase_order_amount_sar,worker_salary_sar,operational_cost_sar,net_profit_sar,profit_margin_pct
MP-2024-13278,8/10/2024,W-010001,Pakistani,Helper / Labourer,Red Sea Global,Tourism Dev,Tabuk,Multi-Year,18,54666,29772,12960,11934,21.83
MP-2024-83563,22/07/2024,W-010004,Nepali,Heavy Equipment Operator,SABIC,Petrochemical,Eastern Province,Annual,12,88848,51084,15048,22716,25.57
MP-2025-46421,8/6/2024,W-010005,Indonesian,Electrician,Saudi Aramco,Oil & Gas,Eastern Province,Short-Term,3,25914,11241,3591,11082,42.76
MP-2025-20328,19/07/2025,W-010007,Sudanese,QC Inspector,Saudi Kayan,Petrochemical,Eastern Province,Annual,12,123972,78300,12312,33360,26.91
MP-2024-40512,13/04/2024,W-010009,Pakistani,Rigger,Sadara Chemical,Petrochemical,Eastern Province,Annual,12,59016,31620,16224,11172,18.93
MP-2024-80010,7/9/2024,W-010010,Bangladeshi,Scaffolder,Marafiq,Utilities,Eastern Province,Annual,12,49764,27684,14712,632,1.27
MP-2025-62581,1/10/2024,W-010011,Indian,Civil Engineer,Petro Rabigh,Petrochemical,Makkah,Short-Term,3,50034,26934,3729,19371,38.72
MP-2024-83579,5/7/2025,W-010013,Egyptian,Mechanical Technician,NEOM,Mega Project,Tabuk,Annual,12,111324,57540,12240,41544,37.32
MP-2024-30033,4/10/2025,W-010014,Sudanese,Industrial Painter,Saudi Aramco,Oil & Gas,Eastern Province,Annual,12,81840,37140,16536,28164,34.41
MP-2024-99166,27/04/2024,W-010017,Yemeni,Helper / Labourer,Royal Commission Jubail,Industrial,Eastern Province,Short-Term,3,9543,4683,4095,765,8.02
MP-2025-75612,1/7/2024,W-010020,Sri Lankan,Driver (Heavy),Sadara Chemical,Petrochemical,Eastern Province,Annual,12,65856,36636,14664,14556,22.1
MP-2024-88504,27/11/2024,W-010022,Indian,Warehouse Keeper,Petro Rabigh,Petrochemical,Makkah,Multi-Year,24,117576,65640,25824,26112,22.21
MP-2025-19071,29/06/2025,W-010023,Indian,Mechanical Technician,NEOM,Mega Project,Tabuk,Short-Term,6,43194,21876,6324,14994,34.71
MP-2024-50857,12/2/2025,W-010026,Nepali,Mechanical Technician,Ma'aden,Mining,Northern Borders,Short-Term,2,9862,5856,2130,1876,19.02
MP-2024-19305,25/12/2025,W-010029,Indian,Welder,Saudi Aramco,Oil & Gas,Eastern Province,Short-Term,6,35046,15486,4866,14694,41.93
MP-2025-41850,29/04/2025,W-010031,Indian,Welder,Saudi Electricity Co.,Power,Riyadh,Annual,12,72444,35364,13860,23220,32.05
MP-2024-17944,16/02/2025,W-010034,Pakistani,Driver (Heavy),SABIC,Petrochemical,Eastern Province,Short-Term,3,13290,7188,2991,3111,23.41
MP-2024-68082,17/07/2025,W-010035,Indian,Document Controller,Saudi Kayan,Petrochemical,Eastern Province,Multi-Year,24,160944,91992,19440,49512,30.76
MP-2024-31579,23/01/2025,W-010036,Ethiopian,Scaffolder,Royal Commission Jubail,Industrial,Eastern Province,Annual,12,68460,31104,16764,20592,30.08
MP-2025-30289,13/07/2024,W-010038,Indian,Welder,Royal Commission Jubail,Industrial,Eastern Province,Short-Term,3,13632,6873,3081,3678,26.98
MP-2024-17455,4/6/2025,W-010039,Yemeni,Welder,Saudi Aramco,Oil & Gas,Eastern Province,Multi-Year,36,207252,86112,30060,91080,43.95
MP-2024-64948,4/11/2025,W-010042,Filipino,Electrician,SABIC,Petrochemical,Eastern Province,Annual,12,72312,38364,8976,24972,34.53
MP-2025-51441,15/03/2024,W-010043,Bangladeshi,Document Controller,Worley KSA,EPC Contractor,Eastern Province,Short-Term,2,14178,9024,1824,132,0.93
MP-2025-30676,24/03/2025,W-010046,Egyptian,Safety Officer,Worley KSA,EPC Contractor,Eastern Province,Annual,12,83580,45852,13116,24612,29.45
MP-2024-44664,28/04/2024,W-010047,Egyptian,Pipe Fitter,SABIC,Petrochemical,Eastern Province,Short-Term,3,17352,8298,2544,6510,37.52
MP-2024-22097,11/10/2025,W-010049,Sudanese,Welder,Sadara Chemical,Petrochemical,Eastern Province,Short-Term,3,14550,7377,3537,3636,24.99
MP-2024-19862,8/12/2025,W-010050,Filipino,Helper / Labourer,NEOM,Mega Project,Tabuk,Short-Term,2,5942,2650,2700,592,9.96
MP-2024-56898,3/8/2024,W-010053,Pakistani,Welder,Royal Commission Jubail,Industrial,Eastern Province,Multi-Year,36,281376,135288,48384,97704,34.72
MP-2024-33206,26/02/2025,W-010054,Indian,Warehouse Keeper,Royal Commission Jubail,Industrial,Eastern Province,Annual,12,79860,40056,10032,29772,37.28
MP-2024-60140,9/2/2024,W-010056,Pakistani,Helper / Labourer,Saudi Electricity Co.,Power,Riyadh,Short-Term,2,6162,2868,1898,1396,22.65
MP-2024-46585,25/12/2024,W-010059,Bangladeshi,Rigger,Saudi Kayan,Petrochemical,Eastern Province,Short-Term,1,5592,2485,784,2323,41.54
MP-2025-15014,21/04/2024,W-010062,Bangladeshi,Helper / Labourer,Sadara Chemical,Petrochemical,Eastern Province,Annual,12,39900,19284,12984,7632,19.13
MP-2025-10221,16/06/2025,W-010065,Nepali,Civil Engineer,Royal Commission Jubail,Industrial,Eastern Province,Short-Term,3,38157,22050,3366,12741,33.39
MP-2024-49363,3/6/2025,W-010067,Nepali,Electrician,Diriyah Company,Real Estate,Riyadh,Annual,12,68292,35568,11208,21516,31.51
MP-2024-90676,5/8/2025,W-010069,Bangladeshi,Helper / Labourer,Sadara Chemical,Petrochemical,Eastern Province,Short-Term,6,20244,9984,5886,4374,21.61
MP-2025-32241,5/11/2025,W-010070,Pakistani,Rigger,ROSHN,Real Estate,Riyadh,Short-Term,2,11300,6752,1598,-292,-2.58
MP-2025-90120,15/03/2024,W-010072,Bangladeshi,QC Inspector,SABIC,Petrochemical,Eastern Province,Annual,12,120324,69972,17136,-6650,-5.53
MP-2024-65724,12/8/2024,W-010073,Sudanese,HVAC Technician,Saudi Electricity Co.,Power,Riyadh,Annual,12,85944,51012,9000,25932,30.17
MP-2025-68008,19/09/2025,W-010076,Sri Lankan,Mechanical Technician,Marafiq,Utilities,Eastern Province,Annual,12,75396,37416,11856,26124,34.65
MP-2025-78327,11/5/2025,W-010079,Pakistani,Mechanical Technician,Diriyah Company,Real Estate,Riyadh,Short-Term,3,18870,10317,2262,6291,33.34
MP-2024-38043,6/3/2024,W-010081,Bangladeshi,Heavy Equipment Operator,Saudi Electricity Co.,Power,Riyadh,Short-Term,3,20913,10503,4080,-1431,-6.84
MP-2025-72518,7/1/2024,W-010083,Pakistani,Industrial Painter,Petro Rabigh,Petrochemical,Makkah,Multi-Year,24,110424,59664,24336,26424,23.93
MP-2025-31632,23/04/2025,W-010084,Ethiopian,Heavy Equipment Operator,Marafiq,Utilities,Eastern Province,Annual,12,79128,47916,11652,19560,24.72
MP-2024-16590,23/09/2024,W-010086,Pakistani,Mechanical Technician,Sadara Chemical,Petrochemical,Eastern Province,Multi-Year,24,218664,103296,20136,95232,43.55
MP-2024-80702,23/02/2024,W-010088,Pakistani,Welder,NWC,Water,Riyadh,Short-Term,1,6172,3719,665,1788,28.97
MP-2024-72070,16/11/2025,W-010089,Filipino,Scaffolder,Diriyah Company,Real Estate,Riyadh,Annual,12,51540,26820,14532,10188,19.77
MP-2024-50768,20/04/2024,W-010092,Indian,Electrician,Red Sea Global,Tourism Dev,Tabuk,Multi-Year,36,286632,158004,39384,89244,31.14
MP-2024-23356,14/12/2025,W-010094,Yemeni,Safety Officer,Saudi Aramco,Oil & Gas,Eastern Province,Multi-Year,18,160974,85266,20880,54828,34.06
MP-2025-11658,6/3/2025,W-010096,Indian,Site Supervisor,ROSHN,Real Estate,Riyadh,Multi-Year,24,237840,139344,41232,57264,24.08
MP-2025-70931,22/03/2025,W-010099,Filipino,Electrician,SABIC,Petrochemical,Eastern Province,Multi-Year,24,192120,102600,23976,65544,34.12
MP-2025-54092,30/01/2024,W-010101,Yemeni,Pipe Fitter,SABIC,Petrochemical,Eastern Province,Annual,12,80592,36156,14112,30324,37.63
MP-2024-77715,14/07/2024,W-010102,Pakistani,Industrial Painter,NEOM,Mega Project,Tabuk,Short-Term,3,17763,8025,3735,6003,33.79
MP-2024-63005,9/12/2025,W-010103,Pakistani,Civil Foreman,Ma'aden,Mining,Northern Borders,Annual,12,103416,54768,10776,37872,36.62
MP-2025-50189,14/09/2024,W-010104,Indian,Pipe Fitter,Saudi Aramco,Oil & Gas,Eastern Province,Annual,12,87732,45264,9744,32724,37.3
MP-2025-23176,17/07/2024,W-010106,Pakistani,Pipe Fitter,Saudi Aramco,Oil & Gas,Eastern Province,Annual,12,83484,34728,12780,35976,43.09
MP-2024-93606,17/05/2025,W-010107,Yemeni,Civil Foreman,Saudi Electricity Co.,Power,Riyadh,Annual,12,73392,47532,16272,9588,13.06
MP-2024-62521,18/05/2025,W-010108,Filipino,Rigger,Saudi Aramco,Oil & Gas,Eastern Province,Multi-Year,24,116352,58464,25656,32232,27.7
